	Transliteration	Normalized
20658	Pu5-ma-DINGIR-tur	Pu₅.ma.DINGIR.tur[]PN
20659	Puzur3-Eš4-tar2	Puzur₃.Eš₄.tar₂[]PN
20660	Puzur4	Puzur[]PN
20661	Puzur4-	Puzur[]PN
20662	Puzur4-A-ku-ku-um	Puzur₄.A.ku.ku.um[]PN
20663	Puzur4-A-ku-um	Puzur₄.A.ku.um[]PN
20664	Puzur4-A-ku-um-ta	Puzur₄.A.ku.um[]PN
20665	Puzur4-A-kum	Puzur₄.A.kum[]PN
20666	Puzur4-A-kum-ta	Puzur₄.A.kum[]PN
20667	Puzur4-A-šur5	PuzurAšur[]PN
20668	Puzur4-A-šur6	Puzur₄.A.šur₆[]PN
20669	Puzur4-AN	Puzur₄.AN[]PN
20670	Puzur4-AN-AMAR-ta	Puzur₄.AN.AMAR[]PN
20671	Puzur4-AN-ba-ni	Puzur₄.AN.ba.ni[]PN
20672	Puzur4-AN.DA	Puzur₄.AN.DA[]PN
20673	Puzur4-AN.GA2	Puzur₄.AN.GA₂[]PN
20674	Puzur4-AN.GAR3	Puzur₄.AN.GAR₃[]PN
20675	Puzur4-AN.U3.GUR	Puzur₄.AN.U₃.GUR[]PN
20676	Puzur4-Ab-u2	Puzur₄.Ab.u₂[]PN
20677	Puzur4-An-ne2	Puzur₄.An.ne₂[]PN
20678	Puzur4-Arad-ra	Puzur₄.Arad.ra[]PN
20679	Puzur4-BI-u2	Puzur₄.BI.u₂[]PN
20680	Puzur4-Ba-ba-az	Puzur₄.Ba.ba.az[]PN
20681	Puzur4-Ba-ba-aš{ki}	Puzur₄.Ba.ba.aš{ki}[]SN
20682	Puzur4-DINGIR	Puzur₄.DINGIR[]PN
20683	Puzur4-DINGIR-šuₓ(TAG)	Puzur₄.DINGIR.šuₓ(TAG)[]PN
20684	Puzur4-DINGIR-šuₓ(TAG)-ta	Puzur₄.DINGIR.šuₓ(TAG)[]PN
20685	Puzur4-Da-GIM	Puzur₄.Da.GIM[]PN
20686	Puzur4-Da-da	Puzur₄.Da.da[]PN
20687	Puzur4-Da-ga-an	Puzur₄.Da.ga.an[]PN
20688	Puzur4-Da-gan	Puzur₄.Da.gan[]PN
20689	Puzur4-Da-gan-na	Puzur₄.Da.gan.na[]PN
20690	Puzur4-Da-gan-ta	Puzur₄.Da.gan[]PN
20691	Puzur4-Da-gan-še3	Puzur₄.Da.gan[]PN
20692	Puzur4-Da-gan2	Puzur₄.Da.gan₂[]PN
20693	Puzur4-Da-gan{an}	Puzur₄.Da.gan{an}[]PN
20694	Puzur4-Da-gan{ki}	Puzur₄.Da.gan{ki}[]SN
20695	Puzur4-Du-du	Puzur₄.Du.du[]PN
20696	Puzur4-E2-a	PuzurEa[]PN
20697	Puzur4-E2-a-me	PuzurEame[]PN
20698	Puzur4-E2-a-ta	PuzurEa[]PN
20699	Puzur4-E2.GAL	Puzur₄.E₂.GAL[]PN
20700	Puzur4-E3-a-me	Puzur₄.E₃.a.me[]PN
20701	Puzur4-Er3-ra	PuzurEra[]PN
20702	Puzur4-Er3-ra-ta	PuzurEra[]PN
20703	Puzur4-Eš-tar2	Puzur₄.Eš.tar₂[]PN
20704	Puzur4-Eš18-tar2	Puzur₄.Eš₁₈.tar₂[]PN
20705	Puzur4-Eš4-tar	Puzur₄.Eš₄.tar[]PN
20706	Puzur4-Eš4-tar2	Puzur₄.Eš₄.tar₂[]PN
20707	Puzur4-Eš4-tar2-ke4	Puzur₄.Eš₄.tar₂[]PN
20708	Puzur4-Eš4-tar2-ta	Puzur₄.Eš₄.tar₂[]PN
20709	Puzur4-Eš4-tar22	Puzur₄.Eš₄.tar₂₂[]PN
20710	Puzur4-Eš5-tar2	Puzur₄.Eš₅.tar₂[]PN
20711	Puzur4-GUG	Puzur₄.GUG[]PN
20712	Puzur4-Ga-ga	Puzur₄.Ga.ga[]PN
20713	Puzur4-Ga-ga-ta	Puzur₄.Ga.ga[]PN
20714	Puzur4-Ga-ga-u2	Puzur₄.Ga.ga.u₂[]PN
20715	Puzur4-Gu3-de2-a	Puzur₄.Gu₃.de₂.a[]PN
20716	Puzur4-Ha-ia3	Puzur₄.Ha.iʾa₃[]PN
20717	Puzur4-Ha-ia3-ta	Puzur₄.Ha.iʾa₃[]PN
20718	Puzur4-Ha-mi	Puzur₄.Ha.mi[]PN
20719	Puzur4-I-šum	PuzurIšum[]PN
20720	Puzur4-I3-šu	Puzur₄.I₃.šu[]PN
20721	Puzur4-I3-šu-um-e	Puzur₄.I₃.šu.um.e[]PN
20722	Puzur4-I3-šum	Puzur₄.I₃.šum[]PN
20723	Puzur4-IM-a	Puzur₄.IM.a[]PN
20724	Puzur4-Iš4-tar2	Puzur₄.Iš₄.tar₂[]PN
20725	Puzur4-Iš8-tar2	Puzur₄.Iš₈.tar₂[]PN
20726	Puzur4-Ištar	Puzur₄.Ištar[]PN
20727	Puzur4-KA	Puzur₄.KA[]PN
20728	Puzur4-KU.LA2	Puzur₄.KU.LA₂[]PN
20729	Puzur4-Ka3-ka3	Puzur₄.Ka₃.ka₃[]PN
20730	Puzur4-Keš3{ki}	Puzur₄.Keš₃{ki}[]SN
20731	Puzur4-Ku-ku	Puzur₄.Ku.ku[]PN
20732	Puzur4-LI	Puzur₄.LI[]PN
20733	Puzur4-La-az	Puzur₄.La.az[]PN
20734	Puzur4-Ma-am3	Puzur₄.Ma.am₃[]PN
20735	Puzur4-Ma-ma	Puzur₄.Ma.ma[]PN
20736	Puzur4-Ma-ma-kam	Puzur₄.Ma.ma.kam[]PN
